,X,mobility_action,REGION,MAIN_FIELD,INTERNATIONAL_COAUTHOR,GENDER,GDP_PC_ORIGIN,age,PPY,COPP,CPP,mobile
192514,193693,1,Europe & Central Asia,Health Sciences,1,1,35149.2922257143,14,5.21428571428571,4.43835616438356,14.5616438356164,1
6091,6114,1,Latin America & Caribbean,Physical Sciences,1,1,15135.5595833333,17,7.88235294117647,0.746268656716418,25.8283582089552,1
522879,525141,1,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,13,0.692307692307692,3.11111111111111,2.33333333333333,1
614333,616977,1,Europe & Central Asia,Physical Sciences,1,0,16781.6240290952,21,5.33333333333333,2.63392857142857,27.6160714285714,1
6662,6685,1,Latin America & Caribbean,Life Sciences,1,0,15135.5595833333,20,1.7,2.79411764705882,28.5294117647059,1
72059,72224,1,North America,Life Sciences,1,0,36054.8396904762,21,3.28571428571429,1.78260869565217,24.7246376811594,1
155523,156623,1,Europe & Central Asia,Life Sciences,1,1,35149.2922257143,16,3.6875,1.91525423728814,12.6271186440678,1
44667,44755,1,Sub-Saharan Africa,Life Sciences,1,1,2174.018601,16,1.5,2.58333333333333,24.2916666666667,1
340627,342167,1,Europe & Central Asia,Health Sciences,1,1,32993.7535514286,21,7.85714285714286,2.90909090909091,23.0424242424242,1
417208,419079,1,Europe & Central Asia,Life Sciences,1,1,31642.1296719048,15,8.4,4.57142857142857,46.1507936507937,1
156171,157271,1,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,21,3.14285714285714,1.37878787878788,11.3636363636364,1
137062,137388,1,East Asia & Pacific,Physical Sciences,1,1,6801.14156919048,21,5.19047619047619,1.6605504587156,17.605504587156,1
344267,345815,1,Europe & Central Asia,Physical Sciences,1,1,32993.7535514286,21,10,16.5809523809524,12.9380952380952,1
234694,235979,1,Europe & Central Asia,Health Sciences,1,1,27787.0150390476,19,3.10526315789474,2.8135593220339,14.8474576271186,1
252850,254189,1,Europe & Central Asia,Physical Sciences,1,1,33685.8323447619,21,4.28571428571429,6.72222222222222,29.1444444444444,1
215001,216230,1,Middle East & North Africa,Physical Sciences,1,1,7954.62566528571,21,0.380952380952381,2.875,19.625,1
661386,664226,1,Europe & Central Asia,Physical Sciences,1,1,37083.4250842857,18,2.11111111111111,4.23684210526316,35.7894736842105,1
55698,55827,1,Latin America & Caribbean,Health Sciences,1,0,11837.3063025714,19,3.26315789473684,21.8709677419355,27.1612903225806,1
329413,330924,1,Europe & Central Asia,Health Sciences,1,0,32993.7535514286,15,12.3333333333333,37.1027027027027,36.5675675675676,1
90067,90271,1,North America,Health Sciences,1,0,36054.8396904762,21,5.57142857142857,1.52991452991453,10.974358974359,1
635129,637866,1,Europe & Central Asia,Physical Sciences,1,0,14994.1721550952,20,5.2,4.80769230769231,17.3461538461538,1
251889,253227,1,Europe & Central Asia,Physical Sciences,1,1,33685.8323447619,21,8.42857142857143,1.46892655367232,24.0734463276836,1
250846,252178,1,Europe & Central Asia,Health Sciences,1,1,33685.8323447619,21,14.8095238095238,1.10289389067524,17.4694533762058,1
99824,100033,1,Europe & Central Asia,Health Sciences,1,1,46420.2556395238,20,0.75,10.2,33.2666666666667,1
586742,589316,1,Europe & Central Asia,Physical Sciences,1,1,39541.877177619,20,3.05,1,25.327868852459,1
331827,333347,1,Europe & Central Asia,Health Sciences,1,1,32993.7535514286,21,0.428571428571429,135.555555555556,14.1111111111111,1
42231,42314,1,Europe & Central Asia,Health Sciences,1,1,34923.2332623809,21,28,3.06802721088435,29.5442176870748,1
403857,405692,1,Middle East & North Africa,Physical Sciences,1,1,13436.0027122381,21,8.80952380952381,6.42702702702703,15.1189189189189,1
250768,252100,1,Europe & Central Asia,Physical Sciences,1,1,33685.8323447619,21,3.19047619047619,0.611940298507463,13.4776119402985,1
209018,210237,1,Europe & Central Asia,Physical Sciences,1,1,36832.924392381,21,14.2380952380952,0.979933110367893,37.8127090301003,1
929964,939400,1,North America,Physical Sciences,1,1,44202.2401857143,21,35.2380952380952,1.70675675675676,25,1
357294,358877,1,Europe & Central Asia,Physical Sciences,1,1,32993.7535514286,21,0.904761904761905,0.421052631578947,0.842105263157895,1
83037,83230,1,North America,Physical Sciences,1,0,36054.8396904762,14,3.14285714285714,0.840909090909091,17.7727272727273,1
444877,446840,1,Europe & Central Asia,Physical Sciences,1,1,31642.1296719048,18,35.6666666666667,25.2928348909657,31.8333333333333,1
572982,575462,1,Sub-Saharan Africa,Health Sciences,1,1,1542.39831138095,20,0.7,8,9.57142857142857,1
656039,658867,1,Europe & Central Asia,Health Sciences,1,1,24293.1096704762,21,8.71428571428571,7.85792349726776,22.2021857923497,1
689347,697970,1,Europe & Central Asia,Physical Sciences,1,0,7151.90889333333,20,1.9,3.28947368421053,23.7894736842105,1
271685,273069,1,Europe & Central Asia,Life Sciences,1,0,31992.4621838095,15,1.33333333333333,2.9,29.25,1
519570,521819,1,East Asia & Pacific,Life Sciences,1,1,32168.1393709524,21,4.52380952380952,3.07368421052632,33.3578947368421,1
632062,634787,1,Europe & Central Asia,Life Sciences,1,1,14994.1721550952,21,1.23809523809524,4.19230769230769,16.5384615384615,1
866262,875498,1,North America,Health Sciences,1,1,44202.2401857143,17,1.64705882352941,5.39285714285714,15.2142857142857,1
670983,673916,1,Middle East & North Africa,Health Sciences,1,1,8088.97196080952,12,1.66666666666667,2,4.35,1
265091,266456,1,Europe & Central Asia,Physical Sciences,1,1,31992.4621838095,20,2.85,3.2280701754386,12.2982456140351,1
200906,202109,1,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,21,1.0952380952381,2.1304347826087,10.6086956521739,1
442665,444620,1,Europe & Central Asia,Physical Sciences,1,1,31642.1296719048,20,1.6,7.34375,13.0625,1
884381,893691,1,North America,Health Sciences,1,1,44202.2401857143,17,1.41176470588235,3.91666666666667,12.3333333333333,1
74896,75067,1,North America,Physical Sciences,1,1,36054.8396904762,18,0.333333333333333,0.5,5.66666666666667,1
313242,314724,1,Europe & Central Asia,Life Sciences,1,1,32993.7535514286,16,0.5625,3.77777777777778,18.5555555555556,1
353561,355130,1,Europe & Central Asia,Social Sciences,1,0,32993.7535514286,14,0.5,1,12,1
234098,235382,1,Europe & Central Asia,Life Sciences,1,1,27787.0150390476,16,3.3125,52.2075471698113,69.622641509434,1
803160,812208,1,North America,Health Sciences,1,1,44202.2401857143,17,2.47058823529412,3.45238095238095,13.2142857142857,1
44664,44752,1,Sub-Saharan Africa,Life Sciences,1,0,2174.018601,19,2.36842105263158,2.22222222222222,16.9777777777778,1
607280,609904,1,Europe & Central Asia,Physical Sciences,1,1,16781.6240290952,21,4.71428571428571,1.96969696969697,12.3535353535354,1
282383,283796,1,Europe & Central Asia,Physical Sciences,1,1,31992.4621838095,20,0.9,1.94444444444444,18.4444444444444,1
29941,30007,1,Europe & Central Asia,Physical Sciences,1,1,37467.8615604762,15,1.53333333333333,1.1304347826087,4,1
563391,565809,1,Middle East & North Africa,Physical Sciences,1,1,69346.6165828571,21,3.80952380952381,0.45,11.5125,1
157,167,1,Middle East & North Africa,Physical Sciences,1,1,84147.1252014286,18,1.44444444444444,1.34615384615385,0.961538461538462,1
336203,337734,1,Europe & Central Asia,Physical Sciences,1,1,32993.7535514286,21,1.95238095238095,1.92682926829268,22,1
572832,575312,1,Europe & Central Asia,Life Sciences,1,1,9046.7078512381,21,1.42857142857143,1.36666666666667,19.9666666666667,1
309590,311055,1,Europe & Central Asia,Physical Sciences,1,1,31992.4621838095,21,13.047619047619,0.799270072992701,8.24087591240876,1
270837,272217,1,Europe & Central Asia,Physical Sciences,1,1,31992.4621838095,14,3.78571428571429,1.26415094339623,7.49056603773585,1
626519,629217,1,Europe & Central Asia,Life Sciences,1,1,14994.1721550952,17,0.941176470588235,0.875,39.625,1
246616,247940,1,Europe & Central Asia,Physical Sciences,1,1,27787.0150390476,16,2.8125,2,31.2,1
701497,710170,1,North America,Physical Sciences,1,1,44202.2401857143,21,2.80952380952381,1.83050847457627,7.67796610169492,1
44442,44530,1,Europe & Central Asia,Physical Sciences,1,1,34923.2332623809,19,1.36842105263158,1.57692307692308,15.6923076923077,1
171159,172288,1,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,20,0.9,0.666666666666667,8.88888888888889,1
373661,375336,1,Europe & Central Asia,Health Sciences,1,1,24479.2539804762,19,0.684210526315789,7.84615384615385,8.53846153846154,1
313825,315309,1,Europe & Central Asia,Physical Sciences,1,1,32993.7535514286,18,1.72222222222222,2.93548387096774,20.2903225806452,1
148916,150008,1,Europe & Central Asia,Health Sciences,1,1,23660.2196652381,21,4.85714285714286,2.43137254901961,18.5392156862745,1
366647,368252,1,Europe & Central Asia,Physical Sciences,1,0,32993.7535514286,21,0.714285714285714,1.06666666666667,14.1333333333333,1
212737,213961,1,Europe & Central Asia,Health Sciences,1,0,36832.924392381,13,0.461538461538462,2.33333333333333,12,1
49064,49170,1,Latin America & Caribbean,Physical Sciences,1,1,11837.3063025714,16,2.625,1.5952380952381,37.2380952380952,1
206954,208171,1,Europe & Central Asia,Life Sciences,1,1,36832.924392381,16,1.25,4.05,32.9,1
769216,778142,1,North America,Health Sciences,1,1,44202.2401857143,21,8,3.71428571428571,18.875,1
155917,157017,1,Europe & Central Asia,Life Sciences,1,1,35149.2922257143,21,2.14285714285714,2.86666666666667,22.7555555555556,1
21020,21068,1,East Asia & Pacific,Social Sciences,1,0,34734.2837052381,18,0.722222222222222,1.07692307692308,6.23076923076923,1
508421,510625,1,East Asia & Pacific,Health Sciences,1,0,32168.1393709524,17,1.70588235294118,7.31034482758621,35.2758620689655,1
180722,181874,1,Europe & Central Asia,Life Sciences,1,1,35149.2922257143,16,3.6875,0.932203389830508,19.1864406779661,1
749544,758409,1,North America,Health Sciences,1,0,44202.2401857143,14,1,2.57142857142857,13.6428571428571,1
32917,32985,1,Europe & Central Asia,Health Sciences,1,1,37467.8615604762,21,3.9047619047619,3,23.8292682926829,1
160180,161288,1,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,17,3.29411764705882,1.21428571428571,3.25,1
532420,534725,1,East Asia & Pacific,Physical Sciences,0,1,32168.1393709524,13,0.692307692307692,1.88888888888889,1.88888888888889,1
215582,216813,1,Middle East & North Africa,Life Sciences,1,1,7954.62566528571,21,0.80952380952381,2.70588235294118,8.82352941176471,1
627938,630646,1,Europe & Central Asia,Physical Sciences,1,1,14994.1721550952,21,4.85714285714286,0.931372549019608,5.08823529411765,1
850354,859535,1,North America,Health Sciences,1,0,44202.2401857143,21,5.47619047619048,1.6,15.4695652173913,1
31995,32063,1,Europe & Central Asia,Physical Sciences,1,1,37467.8615604762,21,10.8571428571429,1.1140350877193,13.1271929824561,1
222489,223741,1,Europe & Central Asia,Health Sciences,1,1,27787.0150390476,21,6.71428571428571,5.91489361702128,19.5744680851064,1
204770,205981,1,Europe & Central Asia,Life Sciences,1,1,35149.2922257143,15,3.8,3.12280701754386,23.2105263157895,1
46,46,1,Europe & Central Asia,Physical Sciences,1,1,7049.768772,21,0.333333333333333,2.71428571428571,18.1428571428571,1
281250,282662,1,Europe & Central Asia,Health Sciences,1,0,31992.4621838095,17,5.58823529411765,6.84210526315789,49.4947368421053,1
765795,774715,1,North America,Physical Sciences,1,1,44202.2401857143,21,2.66666666666667,2.10714285714286,5.08928571428571,1
153771,154870,1,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,21,16.6666666666667,1.07428571428571,15.52,1
442077,444026,1,Europe & Central Asia,Health Sciences,1,1,31642.1296719048,20,2.6,146.923076923077,21.75,1
556045,558439,1,East Asia & Pacific,Health Sciences,1,1,26350.2981452381,15,7.86666666666667,4.30508474576271,22.5847457627119,1
343270,344815,1,Europe & Central Asia,Physical Sciences,1,1,32993.7535514286,21,1.23809523809524,0.884615384615385,14.1538461538462,1
254060,255400,1,Europe & Central Asia,Physical Sciences,1,1,33685.8323447619,21,8.28571428571429,7.49425287356322,14.9195402298851,1
73999,74168,1,North America,Health Sciences,1,0,36054.8396904762,21,2.52380952380952,13,25.2641509433962,1
727073,735854,1,North America,Physical Sciences,1,1,44202.2401857143,21,10.7619047619048,0.792035398230089,12.0176991150442,1
634986,637723,1,Europe & Central Asia,Life Sciences,1,0,14994.1721550952,19,1.89473684210526,8.11111111111111,22.9166666666667,1
82867,83059,1,North America,Health Sciences,1,1,36054.8396904762,21,2.52380952380952,6.60377358490566,29.7924528301887,1
111101,111320,0,Latin America & Caribbean,Physical Sciences,1,0,15041.6601047143,21,2.38095238095238,1.06,15.82,0
94172,94378,0,North America,Health Sciences,1,0,36054.8396904762,21,3.85714285714286,3.02469135802469,13.4814814814815,0
874930,884198,0,North America,Health Sciences,1,1,44202.2401857143,11,1.27272727272727,6.78571428571429,8.14285714285714,0
127571,127855,0,East Asia & Pacific,Life Sciences,1,0,6801.14156919048,15,3.26666666666667,2.61224489795918,15.3061224489796,0
78427,78608,0,North America,Life Sciences,1,1,36054.8396904762,20,1.95,2.92307692307692,16.0512820512821,0
612079,614719,0,Europe & Central Asia,Physical Sciences,0,0,16781.6240290952,20,1.1,0.409090909090909,7.5,0
830016,839141,0,North America,Physical Sciences,1,1,44202.2401857143,12,0.583333333333333,1.42857142857143,2.57142857142857,0
878170,887455,0,North America,Social Sciences,0,1,44202.2401857143,18,2,0.611111111111111,2.88888888888889,0
830537,839665,0,North America,Social Sciences,1,1,44202.2401857143,21,2.04761904761905,0.441860465116279,7.41860465116279,0
495400,497538,0,East Asia & Pacific,Health Sciences,0,1,32168.1393709524,15,0.4,4.83333333333333,30.3333333333333,0
400547,402372,0,South Asia,Physical Sciences,1,1,3406.45477885714,15,2.93333333333333,1.31818181818182,22.2045454545455,0
298975,300420,0,Europe & Central Asia,Physical Sciences,1,1,31992.4621838095,19,2.94736842105263,0.75,8.28571428571429,0
22654,22704,0,East Asia & Pacific,Health Sciences,0,1,34734.2837052381,17,0.411764705882353,1.71428571428571,2.85714285714286,0
726728,735507,0,North America,Health Sciences,1,1,44202.2401857143,21,1.47619047619048,7.45161290322581,27.0967741935484,0
586784,589358,0,Europe & Central Asia,Life Sciences,1,1,39541.877177619,21,2.80952380952381,3.89830508474576,20.6440677966102,0
753595,762470,0,North America,Physical Sciences,1,0,44202.2401857143,20,0.8,1.3125,16.9375,0
385451,387201,0,South Asia,Health Sciences,1,1,3406.45477885714,19,0.894736842105263,3,5.82352941176471,0
175736,176873,0,Europe & Central Asia,Health Sciences,1,1,35149.2922257143,19,2.47368421052632,1.21276595744681,50.6808510638298,0
398133,399948,0,South Asia,Physical Sciences,1,1,3406.45477885714,21,1.9047619047619,0.625,6.825,0
737333,746157,0,North America,Health Sciences,1,1,44202.2401857143,21,3.19047619047619,5.05970149253731,19.4328358208955,0
233737,235019,0,Europe & Central Asia,Health Sciences,1,1,27787.0150390476,15,2,2.93333333333333,16.3666666666667,0
634062,636798,0,Europe & Central Asia,Physical Sciences,1,0,14994.1721550952,20,0.55,1,1.18181818181818,0
501628,503796,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,21,5.19047619047619,1.6605504587156,13.1834862385321,0
169772,170898,0,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,21,3.61904761904762,1.19736842105263,7.56578947368421,0
518223,520462,0,East Asia & Pacific,Health Sciences,0,1,32168.1393709524,18,0.666666666666667,5.75,7.08333333333333,0
402280,404111,0,Europe & Central Asia,Physical Sciences,1,1,40938.370842381,16,2.125,0.794117647058823,16.7647058823529,0
522379,524638,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,14,0.428571428571429,2,3.33333333333333,0
128069,128357,0,East Asia & Pacific,Life Sciences,0,0,6801.14156919048,16,1.3125,3.0952380952381,6.57142857142857,0
541645,543989,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,18,2.27777777777778,3.24390243902439,18.3658536585366,0
890614,899939,0,North America,Physical Sciences,0,1,44202.2401857143,21,0.476190476190476,1.1,0.5,0
451508,453492,0,Europe & Central Asia,Health Sciences,1,0,31642.1296719048,15,1.53333333333333,1.39130434782609,4.82608695652174,0
263,274,0,Middle East & North Africa,Health Sciences,0,1,84147.1252014286,13,1,1.69230769230769,8.23076923076923,0
333980,335506,0,Europe & Central Asia,Health Sciences,1,0,32993.7535514286,11,0.909090909090909,5.5,11.8,0
884851,894162,0,North America,Life Sciences,1,0,44202.2401857143,21,1.42857142857143,1.9,29.0666666666667,0
326444,327949,0,Europe & Central Asia,Health Sciences,0,1,32993.7535514286,19,1.31578947368421,14.8,6.56,0
936109,945568,0,North America,Social Sciences,1,0,44202.2401857143,18,1.05555555555556,1.36842105263158,14.1578947368421,0
497624,499772,0,East Asia & Pacific,Life Sciences,1,1,32168.1393709524,20,2.2,1.90909090909091,13.9090909090909,0
736210,745032,0,North America,Life Sciences,1,1,44202.2401857143,16,0.8125,5,32.7692307692308,0
463409,465431,0,Europe & Central Asia,Health Sciences,1,1,31642.1296719048,15,2.53333333333333,3.44736842105263,32.4210526315789,0
553269,555653,0,East Asia & Pacific,Health Sciences,1,0,26350.2981452381,19,1.78947368421053,33.8823529411765,18.1764705882353,0
134415,134722,0,East Asia & Pacific,Physical Sciences,1,1,6801.14156919048,13,0.769230769230769,1.4,9.2,0
46349,46446,0,Europe & Central Asia,Life Sciences,0,1,11690.1032189524,17,0.352941176470588,1.16666666666667,2.16666666666667,0
500004,502160,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,21,1.95238095238095,2.29268292682927,20.0487804878049,0
736143,744964,0,North America,Physical Sciences,1,1,44202.2401857143,18,3,1.59259259259259,4.66666666666667,0
678769,681749,0,Europe & Central Asia,Physical Sciences,1,1,15111.2546948571,21,0.904761904761905,0.894736842105263,6.68421052631579,0
403390,405223,0,Europe & Central Asia,Life Sciences,1,1,40938.370842381,17,1.76470588235294,6.26666666666667,30.1666666666667,0
367202,368809,0,Europe & Central Asia,Social Sciences,0,1,32993.7535514286,17,1.11764705882353,0.263157894736842,2.84210526315789,0
876343,885621,0,North America,Social Sciences,0,1,44202.2401857143,17,0.470588235294118,0.5,4.375,0
940540,950342,0,Sub-Saharan Africa,Social Sciences,1,1,10053.8425135238,19,1,4.68421052631579,5.78947368421053,0
489215,491336,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,16,0.9375,1.86666666666667,16.7333333333333,0
256034,257383,0,Europe & Central Asia,Health Sciences,1,0,31992.4621838095,14,1.21428571428571,8.41176470588235,9.52941176470588,0
113346,113570,0,East Asia & Pacific,Physical Sciences,0,0,6801.14156919048,16,1.0625,1.64705882352941,2,0
813173,822250,0,North America,Health Sciences,1,0,44202.2401857143,21,4.38095238095238,4.80434782608696,21.5978260869565,0
471039,473080,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,21,2.04761904761905,0.790697674418605,4.72093023255814,0
879687,888978,0,North America,Physical Sciences,1,1,44202.2401857143,16,1.375,1.31818181818182,15.9090909090909,0
687653,696256,0,Europe & Central Asia,Health Sciences,1,1,7151.90889333333,20,1.5,2.4,3.66666666666667,0
643697,646478,0,Europe & Central Asia,Physical Sciences,1,1,14994.1721550952,19,1.21052631578947,6.52173913043478,21.5652173913043,0
7923,7950,0,East Asia & Pacific,Physical Sciences,1,0,34734.2837052381,21,4.28571428571429,0.577777777777778,9.53333333333333,0
820412,829507,0,North America,Physical Sciences,1,0,44202.2401857143,21,2.47619047619048,3.28846153846154,3.44230769230769,0
923952,933375,0,North America,Life Sciences,1,1,44202.2401857143,21,1.66666666666667,3.51428571428571,24.2571428571429,0
859876,869096,0,North America,Life Sciences,1,0,44202.2401857143,17,1.23529411764706,4.14285714285714,46.7619047619048,0
46909,47009,0,Europe & Central Asia,Physical Sciences,1,1,11690.1032189524,19,1.10526315789474,3.38095238095238,14.5238095238095,0
817191,826277,0,North America,Social Sciences,0,1,44202.2401857143,15,0.8,1.33333333333333,7.33333333333333,0
759138,768040,0,North America,Social Sciences,0,0,44202.2401857143,20,1,0.65,5.8,0
60922,61067,0,Latin America & Caribbean,Health Sciences,1,1,11837.3063025714,13,0.692307692307692,6.22222222222222,11.2222222222222,0
517439,519673,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,17,2.52941176470588,0.813953488372093,14,0
14404,14442,0,East Asia & Pacific,Physical Sciences,1,1,34734.2837052381,11,1,0.909090909090909,3.90909090909091,0
575550,578102,0,Europe & Central Asia,Social Sciences,1,1,39541.877177619,15,2.73333333333333,0.463414634146341,10.8536585365854,0
523877,526142,0,East Asia & Pacific,Life Sciences,1,1,32168.1393709524,16,1,6.25,18.125,0
564695,567127,0,Europe & Central Asia,Physical Sciences,0,1,16840.4035431905,16,0.3125,0.8,0.8,0
140225,140561,0,East Asia & Pacific,Physical Sciences,0,1,6801.14156919048,15,1.6,1.5,2.125,0
659803,662641,0,Europe & Central Asia,Health Sciences,1,1,37083.4250842857,21,4.23809523809524,1.35955056179775,18.4943820224719,0
765617,774536,0,North America,Physical Sciences,1,1,44202.2401857143,21,6.47619047619048,1.05147058823529,14.9264705882353,0
188492,189664,0,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,19,1.57894736842105,2.23333333333333,5.03333333333333,0
719448,728197,0,North America,Health Sciences,1,1,44202.2401857143,21,6.66666666666667,2.33571428571429,11.2214285714286,0
791342,800343,0,North America,Social Sciences,0,1,44202.2401857143,15,1.2,0.277777777777778,9.77777777777778,0
137907,138234,0,East Asia & Pacific,Health Sciences,1,1,6801.14156919048,18,1.72222222222222,2.67741935483871,6.25806451612903,0
179269,180417,0,Europe & Central Asia,Physical Sciences,1,0,35149.2922257143,20,0.4,1.25,38.375,0
899918,909265,0,North America,Life Sciences,1,0,44202.2401857143,21,6.28571428571429,1.75,22.6212121212121,0
494344,496477,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,14,1,5,4.07142857142857,0
18423,18467,0,East Asia & Pacific,Physical Sciences,1,1,34734.2837052381,17,0.470588235294118,1.25,2.625,0
499912,502068,0,East Asia & Pacific,Physical Sciences,0,1,32168.1393709524,18,0.388888888888889,3,0.714285714285714,0
27054,27112,0,East Asia & Pacific,Physical Sciences,1,1,34734.2837052381,17,3.52941176470588,6.86666666666667,34.7833333333333,0
232611,233891,0,Europe & Central Asia,Physical Sciences,1,1,27787.0150390476,19,1.47368421052632,1.17857142857143,8.17857142857143,0
836040,845185,0,North America,Health Sciences,1,0,44202.2401857143,21,2.23809523809524,5.68085106382979,54.8085106382979,0
867407,876644,0,North America,Health Sciences,1,0,44202.2401857143,20,0.65,1,4.15384615384615,0
61885,62032,0,Latin America & Caribbean,Life Sciences,1,0,11837.3063025714,16,1.125,1.77777777777778,10.9444444444444,0
928822,938257,0,North America,Health Sciences,1,0,44202.2401857143,16,2.5,3.5,27.825,0
370014,371674,0,Europe & Central Asia,Health Sciences,1,0,24479.2539804762,21,1.28571428571429,3.66666666666667,30.5925925925926,0
333069,334592,0,Europe & Central Asia,Life Sciences,1,0,32993.7535514286,21,1,139.428571428571,19.3809523809524,0
111464,111685,0,Latin America & Caribbean,Health Sciences,0,0,15041.6601047143,11,0.363636363636364,3.5,6.5,0
20422,20470,0,East Asia & Pacific,Health Sciences,1,1,34734.2837052381,19,1.21052631578947,12.7826086956522,15,0
12896,12931,0,East Asia & Pacific,Health Sciences,1,0,34734.2837052381,21,1.57142857142857,3.15151515151515,21.030303030303,0
111936,112159,0,East Asia & Pacific,Physical Sciences,0,1,6801.14156919048,16,1.4375,1.65217391304348,2.82608695652174,0
127625,127910,0,East Asia & Pacific,Physical Sciences,1,1,6801.14156919048,21,5.38095238095238,1.98230088495575,13.7256637168142,0
695106,703751,0,North America,Health Sciences,1,1,44202.2401857143,21,0.666666666666667,8.42857142857143,19.1428571428571,0
485673,487773,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,18,0.777777777777778,7.35714285714286,13.7142857142857,0
450855,452835,0,Europe & Central Asia,Physical Sciences,1,1,31642.1296719048,18,6.38888888888889,7.06086956521739,6.66086956521739,0
682337,685332,0,Europe & Central Asia,Health Sciences,0,1,15111.2546948571,16,0.4375,2.42857142857143,7.28571428571429,0
677296,680269,0,Europe & Central Asia,Health Sciences,1,1,15111.2546948571,19,3.26315789473684,3.74193548387097,14.6935483870968,0
